size,scenario,label,oneShotMs,appendWorkloadMs,appendLineMs,replaceParagraphMs
5000,S1,"stream ON, cache OFF, chunk ON",0.010497233333333137,1.2760484999999993,2.6457359999999377,0.5834996666666731
5000,S2,"stream ON, cache ON, chunk OFF",0.000212499999999712,0.3837710000000006,0.9663483333333905,0.21884700000000143
5000,S3,"stream ON, cache ON, chunk ON",0.0001472333333329819,0.3247014999999844,0.8667913333333198,0.2651526666666844
5000,S4,"stream OFF, chunk ON",0.276095833333333,0.7330966666666683,2.1095566666666627,0.2634169999999945
5000,S5,"stream OFF, chunk OFF",0.19666943333333317,0.7434933333333144,1.9813203333333054,0.2043746666666569
5000,M1,markdown-it (baseline),0.35928473333333294,0.634583333333334,1.8693763333333682,0.5258333333333288
5000,E1,markdown-exit,0.35887639999999976,0.8949866666666727,2.217819000000001,0.576721999999999
5000,R1,remark (parse only),5.100127766666666,15.306611333333345,40.882623666666824,5.3204996666666675
20000,S1,"stream ON, cache OFF, chunk ON",0.00028750000000172805,3.2379010000000337,8.387146499999972,1.0944794999999772
20000,S2,"stream ON, cache ON, chunk OFF",0.00016875000000027285,1.337891399999944,4.462020000000052,0.9812704999999937
20000,S3,"stream ON, cache ON, chunk ON",0.00026459999999701723,1.2198501999999736,5.213729500000056,1.1124585000000025
20000,S4,"stream OFF, chunk ON",0.9125645999999961,3.075849600000106,8.548043999999948,0.8617505000000278
20000,S5,"stream OFF, chunk OFF",0.7064041499999973,2.527283400000056,7.036708500000088,0.7248539999999934
20000,M1,markdown-it (baseline),0.7338437499999998,2.316390999999976,6.1382725000001415,0.9072709999999802
20000,E1,markdown-exit,0.8871353999999997,2.9627998000000844,8.122312000000136,0.816479500000014
20000,R1,remark (parse only),22.625566700000007,72.01383339999992,184.99943950000045,19.215041500000098
50000,S1,"stream ON, cache OFF, chunk ON",0.0007625000000189175,8.00160475000007,21.58960200000047,2.6516249999999673
50000,S2,"stream ON, cache ON, chunk OFF",0.00030000000001564333,3.4145315000000664,5.586438500000213,2.1695205000000897
50000,S3,"stream ON, cache ON, chunk ON",0.00033750000002328304,3.316957999999886,5.7013735000005,2.6204164999999193
50000,S4,"stream OFF, chunk ON",2.851845800000001,8.19968750000021,21.424813500000937,2.304437499999949
50000,S5,"stream OFF, chunk OFF",1.9499958000000333,6.528999750000253,17.898977999999943,1.7348750000001019
50000,M1,markdown-it (baseline),1.681245799999988,5.828291750000403,15.41068549999909,1.6516454999998587
50000,E1,markdown-exit,2.153962499999989,7.362218499999926,20.26745599999913,2.239375000000109
50000,R1,remark (parse only),62.70101669999999,202.17017700000065,537.2420614999996,60.732937499999935
100000,S1,"stream ON, cache OFF, chunk ON",0.000472166666592481,17.12412466666683,45.05832900000041,5.869979000000058
100000,S2,"stream ON, cache ON, chunk OFF",0.0006249999999757468,6.029721666666774,9.615208000001076,4.83331249999992
100000,S3,"stream ON, cache ON, chunk ON",0.0005416666666254363,6.453444333333512,9.665289000000485,6.06368749999956
100000,S4,"stream OFF, chunk ON",5.582402833333314,16.897388999999748,45.338417000000845,5.388166999999612
100000,S5,"stream OFF, chunk OFF",5.891659666666631,14.43222199999976,40.6084179999998,4.7563749999999345
100000,M1,markdown-it (baseline),4.149041666666714,11.299624333333668,36.91662400000223,3.4694789999998648
100000,E1,markdown-exit,5.022513833333353,14.840736000000712,41.047834999998486,4.67035450000003
100000,R1,remark (parse only),142.54428483333336,454.90020833333375,1324.3735820000002,132.2168545000004
200000,S1,"stream ON, cache OFF, chunk ON",10.332000000000335,41.22979149999901,94.0147489999963,10.050520499999948
200000,S2,"stream ON, cache ON, chunk OFF",13.272801999999956,21.602708500003246,34.05158499999743,10.640291499999876
200000,S3,"stream ON, cache ON, chunk ON",12.44479175000015,21.791646499998933,35.8538750000007,10.774333500000466
200000,S4,"stream OFF, chunk ON",12.390333499999997,37.03624949999994,112.99108400000114,12.180812499999774
200000,S5,"stream OFF, chunk OFF",9.660135499999797,37.9074789999986,100.47179300000062,9.861583499999142
200000,M1,markdown-it (baseline),8.451187499999833,23.56458400000156,68.03724999999758,6.911854500000118
200000,E1,markdown-exit,12.899573000000146,34.65537450000102,86.00141700000677,8.590229500000532
200000,R1,remark (parse only),330.05983325000034,1511.108728000001,2836.564288999991,335.0677294999987
